product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
Loose-Fit Worker Jeans,hm,men-jeans-loose,Men's Jeans,Men,49.99,49.99,In Stock,https://www2.hm.com/en_us/productpage.1325023003.html,https://image.hm.com/assets/hm/49/1c/491c6348049fc6f1642bbe799cce65da91d18862.jpg,hm-store
Relaxed Bootcut Jeans (2),hm,men-jeans-bootcut,Men's Jeans,Men,54.99,54.99,In Stock,https://www2.hm.com/en_us/productpage.1307319010.html,https://image.hm.com/assets/hm/00/b2/00b24e2e593a5333e9721aefc0d284f0b9a80061.jpg,hm-store
Crew Neck T-Shirt,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E424873-000/00?colorDisplayCode=00,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/424873/item/usgoods_00_424873_3x4.jpg,uniqlo-store
Mini T-Shirt,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,19.9,19.9,In Stock,https://www.uniqlo.com/us/en/products/E465760-000/18?colorDisplayCode=18,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465760/item/usgoods_18_465760_3x4.jpg,uniqlo-store
AIRism Cotton T-Shirt | Striped,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,19.9,19.9,In Stock,https://www.uniqlo.com/us/en/products/E480054-000/39?colorDisplayCode=39,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480054/item/usgoods_39_480054_3x4.jpg,uniqlo-store
Ultra Stretch Active T-Shirt,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E483458-000/39?colorDisplayCode=39,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/483458/item/usgoods_39_483458_3x4.jpg,uniqlo-store
Mini T-Shirt | Striped,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,19.9,19.9,In Stock,https://www.uniqlo.com/us/en/products/E483535-000/01?colorDisplayCode=01,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/483535/item/usgoods_01_483535_3x4.jpg,uniqlo-store
Boat Neck T-Shirt,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E487819-000/30?colorDisplayCode=30,,uniqlo-store
AIRism Cotton T-Shirt,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,19.9,19.9,In Stock,https://www.uniqlo.com/us/en/products/E465755-000/09?colorDisplayCode=09,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465755/item/usgoods_09_465755_3x4.jpg,uniqlo-store
AIRism Cotton T-Shirt (2),uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,9.9,9.9,In Stock,https://www.uniqlo.com/us/en/products/E465755-000/54?colorDisplayCode=54,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465755/item/usgoods_54_465755_3x4.jpg,uniqlo-store
Boxy Knitted T-Shirt,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,19.9,19.9,In Stock,https://www.uniqlo.com/us/en/products/E482979-000/38?colorDisplayCode=38,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/482979/item/usgoods_38_482979_3x4.jpg,uniqlo-store
AIRism Camisole,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E482148-000/00?colorDisplayCode=00,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/482148/item/usgoods_00_482148_3x4.jpg,uniqlo-store
