product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,image_1,image_2,image_3,image_4,image_match_type
Nike P-6000,nike,shoes,Men's Shoes,Men,68.97,115,In Stock,https://www.nike.com/t/p-6000-mens-shoes-XkgpKW/IR1477-010,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a3fdcacc-aac1-4a67-b5ea-0f4b4c30909b/NIKE+P-6000.png",,,,not_available
Nike P-6000 Fade,nike,shoes,Men's Shoes,Men/Unisex,125.0,125,In Stock,https://www.nike.com/t/p-6000-fade-mens-shoes-XkgpKW/IH4465-095,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8710354e-ed8a-4a8e-bddb-6bff5caca2cc/NIKE+P-6000.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/17eb5284-f81e-4b40-8471-49d556093f93/NIKE+P-6000.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2ff1cc0f-e7fa-4a7b-9f3b-f5c0f54b90bd/NIKE+P-6000.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0b296a0b-3c73-41b6-b8d5-1b704e091157/NIKE+P-6000.png",exact_match
Nike P-6000,nike,shoes,Men's Shoes,Men,90.97,115,In Stock,https://www.nike.com/t/p-6000-mens-shoes-XkgpKW/IR5279-002,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/81187654-af4d-4fa5-b032-28bd9a748e71/NIKE+P-6000.png",,,,not_available
Nike P-6000,nike,shoes,Men's Shoes,Men,115.0,115,In Stock,https://www.nike.com/t/p-6000-mens-shoes-XkgpKW/IV6029-030,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/844f8cdf-a128-43f5-b9ed-dd383878f8a4/NIKE+P-6000.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2510b425-3584-44d9-a5b5-bca426d1b12e/NIKE+P-6000.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7f773ece-cbef-475f-85e3-b7491aa43d92/NIKE+P-6000.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8f6bbf7d-6685-4413-9838-4621f8b87082/NIKE+P-6000.png",exact_match
Nike P-6000,nike,shoes,Men's Shoes,Men,125.0,125,In Stock,https://www.nike.com/t/p-6000-mens-shoes-XkgpKW/IH8042-002,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2f5790e7-be82-4e5a-a919-ca33d9cf9f64/NIKE+P-6000+PRM.png",,,,not_available
Nike P-6000 SE,nike,shoes,Shoes,Men,125.0,125,In Stock,https://www.nike.com/t/p-6000-se-shoes-XkgpKW/IO3370-300,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/47690382-3d0c-4aa4-b968-a4876e5bcf4c/NIKE+P-6000+SE+LOS.png",,,,not_available
Nike P-6000,nike,shoes,Men's Shoes,Men,115.0,115,In Stock,https://www.nike.com/t/p-6000-mens-shoes-XkgpKW/IR5279-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/22c07c55-a2c7-4b76-9bd6-ee0b73b8edae/NIKE+P-6000.png",,,,not_available
Nike P-6000,nike,shoes,Men's Shoes,Men,115.0,115,In Stock,https://www.nike.com/t/p-6000-mens-shoes-XkgpKW/IR5279-003,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0708260a-b8ae-4cde-b40d-ce9d420eb58a/NIKE+P-6000.png",,,,not_available
Nike P-6000,nike,shoes,Shoes,Men,115.0,115,In Stock,https://www.nike.com/t/p-6000-shoes-XkgpKW/CD6404-108,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/96062836-f1b5-468d-ae1e-fc88e61b76ee/NIKE+P-6000.png",,,,not_available
Nike P-6000 SE,nike,shoes,Men's Shoes,Men,125.0,125,In Stock,https://www.nike.com/t/p-6000-se-mens-shoes-XkgpKW/IR0923-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8ca1d05d-fc71-4876-9681-1006e1b82820/NIKE+P-6000+SE.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0e6eba97-c8f7-448a-b90d-ff7f2b57a66d/NIKE+P-6000+SE.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2114a268-9a97-44bb-957b-683f290e9441/NIKE+P-6000+SE.png","https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/efa343da-7931-4c78-87c8-b024a03391e7/NIKE+P-6000+SE.png",exact_match
